driver_id,total_fare,avg_distance
7,230.47000000000003,31.39
51,86.55,37.67
15,211.54000000000002,11.275
29,33.79,14.69
69,177.74,31.775
87,130.99,5.39
73,42.48,29.94
64,143.95,1.23
3,75.54,8.726666666666665
30,167.09,46.135000000000005
34,37.9,4.93
8,221.91000000000003,44.935
28,409.15000000000003,27.12
85,105.21,42.8
35,146.82,37.49
52,28.38,10.0
71,120.89,26.58333333333333
98,264.04,25.173333333333332
5,139.4,27.825000000000003
18,403.57000000000005,21.653333333333332
70,146.3,2.21
61,60.88,19.63
27,183.98000000000002,35.2
17,84.19,8.34
26,156.70999999999998,28.78
46,274.54999999999995,28.395
78,154.64999999999998,20.015
77,272.03999999999996,23.805
6,124.08,17.686666666666667
68,78.24,18.4
19,144.64,41.045
23,57.53,15.64
95,187.19,43.885000000000005
38,140.41,49.33
25,207.33999999999997,13.669999999999998
82,182.31,31.895000000000003
53,135.0,22.69
86,84.6,15.025
58,40.21,38.245000000000005
67,88.16,30.68
24,243.56,20.5
32,219.23,33.47
1,135.17,6.1
20,172.54,38.23
56,275.13,14.47
36,64.3,34.57
10,55.31,21.63
37,39.87,6.59
49,61.21,47.82
63,124.42,18.93
4,36.12,3.865
39,57.31,24.17
62,65.69,15.015
12,40.53,20.07
83,236.67,42.51
14,118.38999999999999,26.475
21,164.75,24.47
94,37.23,5.17
72,43.14,33.67
74,80.96,26.15
2,184.69,18.98
80,123.08,31.0
50,68.72,19.185
57,122.78,46.76
