driver_id,total_fare,avg_distance
7,230.47000000000003,31.39
51,86.55,37.67
15,211.54000000000002,11.275
29,33.79,14.69
69,177.74,31.775
87,163.36,8.24
73,42.48,29.94
64,143.95,1.23
3,75.54,8.726666666666665
30,167.09,46.135000000000005
34,37.9,4.93
8,221.91000000000003,44.935
28,409.15000000000003,27.12
85,105.21,42.8
35,146.82,37.49
52,28.38,10.0
71,120.89,26.58333333333333
98,264.04,25.173333333333332
5,139.4,27.825000000000003
18,428.33000000000004,21.869999999999997
70,213.27,16.82
61,60.88,19.63
27,183.98000000000002,35.2
17,84.19,8.34
26,164.93999999999997,30.853333333333335
46,274.54999999999995,28.395
78,154.64999999999998,20.015
77,272.03999999999996,23.805
89,45.43,21.625
6,124.08,17.686666666666667
68,78.24,18.4
90,218.8,24.365000000000002
19,144.64,41.045
23,57.53,15.64
55,125.93,13.32
95,187.19,43.885000000000005
38,140.41,49.33
40,26.62,25.55
25,240.43999999999997,17.626666666666665
82,182.31,31.895000000000003
53,249.59,31.525
86,216.46,18.03
58,85.64,38.78333333333334
48,128.16,16.52
67,88.16,30.68
79,51.9,9.17
24,243.56,20.5
32,219.23,33.47
1,135.17,6.1
20,172.54,38.23
56,275.13,14.47
36,64.3,34.57
10,155.88,26.104999999999997
37,39.87,6.59
49,95.9,26.195
63,124.42,18.93
4,44.269999999999996,10.706666666666669
39,57.31,24.17
62,65.69,15.015
12,40.53,20.07
83,236.67,42.51
14,118.38999999999999,26.475
21,284.93,30.156666666666666
66,61.82,13.69
94,37.23,5.17
72,43.14,33.67
74,80.96,26.15
76,15.52,19.94
2,184.69,18.98
80,123.08,31.0
50,163.53,15.333333333333334
57,122.78,46.76
