driver_id,total_fare,avg_distance
51,86.55,37.67
7,82.54,30.89
15,118.2,2.27
69,81.22,42.49
73,42.48,29.94
3,60.57000000000001,11.774999999999999
8,97.73,48.61
28,382.48,27.24
85,105.21,42.8
35,146.82,37.49
98,63.92,16.78
18,141.02,3.22
61,60.88,19.63
78,154.64999999999998,20.015
77,146.54,8.89
6,102.21,43.94
23,57.53,15.64
95,110.91,41.57
38,140.41,49.33
25,84.24,16.4
82,182.31,31.895000000000003
86,22.35,16.51
67,88.16,30.68
32,139.39,37.66
1,135.17,6.1
20,172.54,38.23
56,151.02,10.620000000000001
36,64.3,34.57
10,55.31,21.63
4,21.97,4.92
83,72.32,39.82
21,118.87,14.41
94,37.23,5.17
2,96.2,31.1
50,10.83,33.83
